Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-07-17,3228,12739,9.47,16,761.0,247,47,47,1733,406,22,17,435,588.438.337,Friday,4.0,1,676.666.666.667,933.333.333.333,7.75,928.143.712.575,July,7
2015-07-18,3352,13247,9.84,20,484.0,317,31,47,191,347,29,15,385,611.429.064,Saturday,5.0,0,578.333.333.333,901.298.701.299,676.666.666.667,933.333.333.333,July,7
2015-07-19,3237,1166,8.66,10,680.0,286,5,53,1703,362,24,14,393,538.107.286,Sunday,6.0,0,603.333.333.333,921.119.592.875,578.333.333.333,901.298.701.299,July,7
2015-07-20,3278,13702,10.18,21,708.0,246,48,43,1775,418,20,11,438,632.555.678,Monday,0.0,1,696.666.666.667,954.337.899.543,603.333.333.333,921.119.592.875,July,7
2015-07-21,304,1124,8.35,17,732.0,208,52,24,1438,411,31,11,451,518.844.785,Tuesday,1.0,1,6.85,911.308.203.991,696.666.666.667,954.337.899.543,July,7
2015-07-22,3071,13262,9.85,20,1.093,166,33,70,1495,304,28,16,338,612.050.435,Wednesday,2.0,1,506.666.666.667,899.408.284.024,6.85,911.308.203.991,July,7
2015-07-23,2984,909,6.75,17,719.0,234,23,23,1349,343,50,24,398,419.425.425,Thursday,3.0,1,571.666.666.667,861.809.045.226,506.666.666.667,899.408.284.024,July,7
2015-07-24,3468,15779,11.72,23,618.0,346,48,21,2073,368,18,10,391,728.246.812,Friday,4.0,1,613.333.333.333,941.176.470.588,571.666.666.667,861.809.045.226,July,7
2015-07-25,2706,6174,4.59,3,677.0,231,13,4,1046,380,34,24,420,285.209.289,Saturday,5.0,0,633.333.333.333,904.761.904.762,613.333.333.333,941.176.470.588,July,7
2015-07-26,309,11614,8.63,9,503.0,301,2,40,1573,322,41,13,363,536.243.173,Sunday,6.0,0,536.666.666.667,887.052.341.598,633.333.333.333,904.761.904.762,July,7
2015-07-27,3091,1346,10.0,13,822.0,190,29,64,1527,0,0,0,0,621.371,Monday,0.0,1,0.0,0.0,536.666.666.667,887.052.341.598,July,7
2015-07-28,298,10,7.43,13,803.0,230,44,11,137,472,29,16,519,461.678.653,Tuesday,1.0,1,786.666.666.667,909.441.233.141,0.0,0.0,July,7
2015-07-29,3138,1068,7.94,16,634.0,322,21,4,1628,292,23,16,343,493.368.574,Wednesday,2.0,1,486.666.666.667,851.311.953.353,786.666.666.667,909.441.233.141,July,7
